CENSUS TRACT,COUNTY,COMMUNITY IMPACT SCORE,,
"Census Tract 301.01, Adams County, Pennsylvania",Adams,2,,
"Census Tract 301.02, Adams County, Pennsylvania",Adams,1,,
"Census Tract 302, Adams County, Pennsylvania",Adams,3.5,,
"Census Tract 303, Adams County, Pennsylvania",Adams,2,,
"Census Tract 304, Adams County, Pennsylvania",Adams,2,,
"Census Tract 305, Adams County, Pennsylvania",Adams,3,,
"Census Tract 306, Adams County, Pennsylvania",Adams,2.5,,
"Census Tract 307, Adams County, Pennsylvania",Adams,3,,
"Census Tract 308, Adams County, Pennsylvania",Adams,2,,
"Census Tract 309, Adams County, Pennsylvania",Adams,2.5,,
"Census Tract 310, Adams County, Pennsylvania",Adams,1.5,,
"Census Tract 311.01, Adams County, Pennsylvania",Adams,4,,
"Census Tract 311.02, Adams County, Pennsylvania",Adams,2,,
"Census Tract 312.01, Adams County, Pennsylvania",Adams,1,,
"Census Tract 312.02, Adams County, Pennsylvania",Adams,1.5,,
"Census Tract 312.03, Adams County, Pennsylvania",Adams,1,,
"Census Tract 313, Adams County, Pennsylvania",Adams,3.5,,
"Census Tract 314.01, Adams County, Pennsylvania",Adams,2,,
"Census Tract 314.02, Adams County, Pennsylvania",Adams,2,,
"Census Tract 315.01, Adams County, Pennsylvania",Adams,5,,
"Census Tract 315.02, Adams County, Pennsylvania",Adams,5,,
"Census Tract 316, Adams County, Pennsylvania",Adams,1,,
"Census Tract 317, Adams County, Pennsylvania",Adams,2.5,,
"Census Tract 1005, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 1011, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 1014, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 1016, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 1017, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 1018, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 103, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 1102, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 1106, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 1113, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 1114, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 1115, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 1203, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 1204, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 1207, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 1208, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 1301, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 1302, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 1303, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 1304, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 1306, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 1401, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 1402, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 1403, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 1404, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 1405, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 1406, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 1408, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 1410, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 1411, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 1413, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 1414, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 1516, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 1517, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 1608, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 1609, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 1702, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 1706, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 1803, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 1807, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 1903, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 1911, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 1914, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 1915, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 1916, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 1917, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 1918, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 1919, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 1920, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 201, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 2022, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 2023, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 203, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 2107, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 2206, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 2406, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 2412, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 2503, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 2507, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 2509, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 2602, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 2607, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 2609, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 2612, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 2614, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 2615, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 2620, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 2701, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 2703, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 2704, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 2708, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 2715, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 2814, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 2815, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 2901, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 2902, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 2904, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 3001, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 305, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 3102, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 3103, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 3204, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 3206, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 3207, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4011, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 4012, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 4013, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 402, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 4020, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 4035, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 404, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4040, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 405, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 4050, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 406, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 4060, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4070.01, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4070.02, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4080.01, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4080.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 409, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 4090, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4100, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4110, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4120.01, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4120.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4131, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4132.01, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4132.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4133, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4134, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4135, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4141.01, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4141.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4142, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4150.01, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4150.02, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4160, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4171, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4172, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 4180, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4190, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 4200, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 4211, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4212, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4220, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4230, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 4240, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 4250, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 4263, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4264, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4267, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4268, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4270, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 4271, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4272, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4281, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4282, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4291, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4292.01, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4292.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4293, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4294, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4295, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 4296, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4297, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4301, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4302, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 4311, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 4314, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 4315, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 4323, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 4324, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 4340, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4350, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 4370, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4390, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4455, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 4460, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4470, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4480, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 4490, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4507, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 4508, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 4511.01, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4511.02, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4511.04, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4511.05, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 4513, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4520, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4530.03, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4530.04, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4550, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4560.01, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4560.03, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4560.04, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4571, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 4572, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 4580, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4591.01, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4591.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4592.01, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4592.02, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4600.01, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4600.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4610, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 4621, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 4626, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 4639, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 4643, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 4644, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 4656, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 4658, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 4687, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 4688, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 4689, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 4690, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4703, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4704, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4705.01, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4705.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4706, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 4710, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4721, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 4722, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 4723, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 4724, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4731, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 4732, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4733, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4734.01, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 4734.02, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4735, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4736.01, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4736.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4741.01, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4741.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4742.01, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4742.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4742.03, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4751.01, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4751.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4752, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4753.01, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4753.03, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4753.04, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4754.01, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4754.02, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4761, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 4762, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4771, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4772, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4773, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 4781, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 4782, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 4790, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4801.01, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 4801.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4802, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4803, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4804, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4810, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 4825, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4838, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 4843, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 4845, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 4846, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 4850, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 4867, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 4868, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 4869, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 4870, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 4881, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 4882, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 4883, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4884, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 4885, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4886, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 4890.01, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4890.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4900.02, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4900.03, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4900.04, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4911.01, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4912, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4927, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 4928, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 4929, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4940, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 4950, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4961.01, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4961.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 4962, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 4970, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4980, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 4993, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 4994, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 5003, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 501, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 5010, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 5030.02, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 5041, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 506, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 5070, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 5080, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 509, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 5094, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 510, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 5100, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 511, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 5120, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 5128, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 5129, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 5138, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 5140, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 5151, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 5152, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 5153, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 5154.01, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 5161, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 5162, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 5170, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 5180.01, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 5190, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 5200.01, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 5200.02, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 5211, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 5212, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 5213.01, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 5213.02, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 5214.01, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 5214.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 5215, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 5220, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 5231, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 5232, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 5233, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 5234, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 5235.01, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 5235.02, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 5236, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 5237.01, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 5237.02, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 5238, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 5240, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 5251, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 5252, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 5253, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 5261.01, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 5261.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 5262.01, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 5262.02, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 5263.01, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 5263.02, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 5509, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 5512, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 5513, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 5519, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 5520, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 5521, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 5522, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 5523, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 5524, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 5604, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 5605, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 5606, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 5610, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 5611, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 5612, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 5614, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 5615, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 5616, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 5617, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 5619, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 5620, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 5623, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 5624, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 5625, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 5626, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 5627, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 5628, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 5629, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 5630, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 5631, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 5632, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 5633, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 5638, Allegheny County, Pennsylvania",Allegheny,1,,
