,index,tract_id_proper,ci_score,op_score,so,srb,shs,chc,County FIPS Code,tract,tract_id
50,77,1018.08,1.0,5.0,0.19893333333333332,0.40230000000000005,0.05143333333333334,0.0,17,42017101808,101808
51,78,1019,3.0,3.75,0.14623333333333333,0.38209999999999994,0.3559,0.003333333333333333,17,42017101900,101900
52,79,102,2.25,3.5044444444444447,0.17297777777777773,0.3170722222222223,0.23581666666666687,0.0016666666666666668,81,42081010200,010200
53,80,102.01,1.7,3.6536842105263148,0.16797368421052625,0.32461052631578957,0.1987631578947368,0.0010526315789473684,49,42049010201,010201
54,81,102.02,1.875,3.4642857142857144,0.17055714285714282,0.2898285714285714,0.25529285714285727,0.0021428571428571425,11,42011010202,010202
55,82,102.03,3.0,3.5,0.1709,0.3992,0.21065,0.0,41,42041010203,010203
56,83,102.04,1.0,3.723333333333333,0.1624,0.3163,0.06979999999999999,0.0,41,42041010204,010204
57,85,1020.02,1.0,5.166666666666667,0.14900000000000002,0.4160333333333333,0.13926666666666665,0.0,17,42017102002,102002
58,86,1020.03,1.0,5.25,0.1072,0.41509999999999997,0.060899999999999996,0.0,17,42017102003,102003
59,87,1020.04,1.0,5.375,0.1574,0.44145,0.08524999999999999,0.0,17,42017102004,102004
60,89,1021.02,1.0,4.916666666666667,0.11233333333333333,0.4950333333333334,0.13636666666666666,0.0,17,42017102102,102102
61,90,1021.04,2.0,4.85,0.15894,0.42363999999999996,0.11344000000000001,0.0,17,42017102104,102104
62,92,1023,2.25,4.0,0.16455999999999998,0.4306,0.32998000000000005,0.0,69,42069102300,102300
63,93,1024.01,3.0,4.75,0.1322,0.3652,0.2473,0.0,17,42017102401,102401
64,94,1024.02,1.5,4.75,0.1653,0.40835,0.21835,0.0,17,42017102402,102402
65,95,1025,3.0,3.875,0.18385,0.43705,0.31895,0.0,69,42069102500,102500
66,96,1026,4.25,3.875,0.16554999999999997,0.45935,0.2639,0.0,17,42017102600,102600
67,97,1027,2.0,4.35,0.17058,0.45569999999999994,0.22708,0.0,17,42017102700,102700
68,98,1028,2.0,3.3333333333333335,0.17786666666666665,0.3704,0.4021333333333334,0.0,69,42069102800,102800
69,99,1028.01,1.0,4.5,0.15305000000000002,0.377675,0.2214,0.0,17,42017102801,102801
70,101,103,2.4545454545454546,3.461666666666666,0.16970000000000018,0.3410750000000006,0.2338791666666667,0.0012500000000000005,41,42041010300,010300
71,102,103.01,1.5,3.5,0.16861666666666664,0.23158333333333334,0.11518333333333335,0.0033333333333333335,49,42049010301,010301
72,103,103.02,1.0,4.0,0.1484,0.4038,0.22806666666666664,0.0,11,42011010302,010302
73,104,103.03,1.75,3.625,0.17144999999999996,0.28395000000000004,0.129975,0.005,49,42049010303,010303
74,105,103.04,1.0,3.607142857142857,0.16641428571428568,0.3780285714285715,0.20779999999999998,0.0014285714285714286,49,42049010304,010304
75,111,1033,1.0,5.0,0.17605,0.33494999999999997,0.22960000000000003,0.0,17,42017103300,103300
76,112,1034,1.0,4.583333333333333,0.17505,0.36496666666666666,0.24873333333333333,0.0,17,42017103400,103400
77,113,1037,1.5,5.416666666666667,0.1817,0.3004,0.3162666666666667,0.0,17,42017103700,103700
78,115,1039,2.0,5.25,0.17035,0.5257000000000001,0.35262499999999997,0.0,17,42017103900,103900
79,116,104,1.9545454545454546,3.568529411764706,0.17746176470588226,0.3300647058823531,0.23304117647058853,0.0014705882352941183,11,42011010400,010400
80,118,104.02,1.5,3.0,0.1737,0.27657499999999996,0.38255,0.0025,13,42013010402,010402
81,119,1040,1.0,5.0625,0.1255,0.465075,0.25527500000000003,0.0,17,42017104000,104000
82,120,1041,1.0,4.75,0.1149,0.535,0.1741,0.0,17,42017104100,104100
83,121,1042.01,1.0,5.085,0.220275,0.480625,0.2568,0.0,17,42017104201,104201
84,122,1042.03,1.0,5.085,0.11184999999999999,0.48195,0.23864999999999997,0.0,17,42017104203,104203
85,123,1042.04,1.0,5.034000000000001,0.13221999999999998,0.50034,0.18702,0.0,17,42017104204,104204
86,124,1043.01,1.0,5.390000000000001,0.19766666666666666,0.5967333333333333,0.43533333333333335,0.0,17,42017104301,104301
87,125,1043.03,1.0,5.5,0.22719999999999999,0.4263,0.1628,0.0,17,42017104303,104303
88,128,1045.02,1.0,5.5625,0.150325,0.4057,0.0821,0.0,17,42017104502,104502
89,129,1045.03,1.0,5.085,0.1241,0.3538,0.09955,0.0,17,42017104503,104503
90,131,1045.06,1.0,4.67,0.11019999999999999,0.3639,0.1432,0.0,17,42017104506,104506
91,132,1046.01,1.0,5.5,0.1744,0.3945666666666667,0.06336666666666667,0.0,17,42017104601,104601
92,133,1046.03,2.5,5.5,0.1926,0.42,0.0671,0.0,17,42017104603,104603
93,134,1046.04,1.0,5.5,0.2076,0.4678,0.1096,0.0,17,42017104604,104604
